"Idx","NivelSalarial","AcidenteTrabalho","Saiu","Promovido5anos","Departamento","Satisfacao","UltimaAvaliacao","NumProjetos","HorasMensais","TempoServico"
"100","Médio","0","1","0","sales",0.9,1,5,221,6
"101","Médio","0","1","0","sales",0.38,0.52,2,154,3
"102","Médio","0","1","0","sales",0.36,0.52,2,147,3
"103","Médio","0","1","0","sales",0.42,0.46,2,150,3
"104","Médio","0","1","0","sales",0.09,0.94,7,267,4
"105","Médio","0","1","0","sales",0.43,0.52,2,158,3
"106","Médio","0","1","0","accounting",0.24,0.46,7,224,5
"107","Médio","0","1","0","accounting",0.91,1,4,257,5
"108","Médio","0","1","0","accounting",0.44,0.5,2,148,3
"109","Médio","0","1","0","hr",0.71,0.87,3,177,4
"110","Médio","0","1","0","hr",0.4,0.49,2,155,3
"111","Médio","0","1","0","hr",0.43,0.47,2,144,3
"112","Alto","0","1","0","hr",0.09,0.85,6,289,4
"113","Baixo","0","1","0","technical",0.43,0.52,2,160,3
"114","Médio","0","1","0","technical",0.9,0.96,4,258,5
"115","Médio","0","1","0","technical",0.84,1,5,234,5
"116","Médio","0","1","0","technical",0.37,0.48,2,137,3
"117","Médio","0","1","0","technical",0.86,0.68,5,263,2
"118","Baixo","0","1","0","technical",0.11,0.84,6,251,4
"119","Baixo","0","1","0","technical",0.37,0.57,2,133,3
"120","Baixo","0","1","0","technical",0.4,0.46,2,132,3
"121","Baixo","1","1","0","technical",0.14,0.62,4,158,4
"122","Baixo","0","1","0","technical",0.4,0.46,2,135,3
"123","Baixo","0","1","0","technical",0.75,1,4,216,6
"124","Baixo","1","1","0","support",0.11,0.84,6,300,5
"125","Baixo","0","1","0","support",0.46,0.49,2,138,3
"126","Baixo","0","1","0","support",0.11,0.92,6,260,4
"127","Baixo","0","1","0","support",0.38,0.49,2,132,3
"128","Baixo","0","1","0","support",0.7,0.89,3,183,5
"129","Baixo","0","1","0","support",0.09,0.82,6,250,4
"130","Baixo","0","1","0","support",0.37,0.45,2,151,3
"131","Baixo","0","1","0","support",0.1,0.83,6,292,4
"132","Baixo","0","1","0","support",0.38,0.57,2,140,3
"133","Baixo","0","1","0","support",0.9,1,5,221,5
"134","Baixo","0","1","0","support",0.44,0.51,2,138,3
"135","Baixo","0","1","0","technical",0.36,0.5,2,132,3
"136","Baixo","0","1","0","technical",0.31,0.84,7,133,5
"137","Baixo","1","1","0","technical",0.1,0.84,6,283,4
"138","Baixo","0","1","0","management",0.42,0.48,2,129,3
"139","Baixo","0","1","0","IT",0.74,1,4,249,5
"140","Baixo","0","1","0","IT",0.73,0.87,5,257,5
"141","Baixo","0","1","0","IT",0.09,0.96,6,245,4
"142","Baixo","0","1","0","IT",0.45,0.53,2,155,3
"143","Baixo","0","1","0","IT",0.11,0.8,6,256,4
"144","Baixo","0","1","0","product_mng",0.37,0.47,2,152,3
"145","Baixo","0","1","0","product_mng",0.84,0.99,4,267,5
"146","Baixo","0","1","0","product_mng",0.41,0.46,2,151,3
"147","Baixo","0","1","0","product_mng",0.76,0.92,4,239,5
"148","Baixo","0","1","0","IT",0.11,0.87,6,306,4
"149","Baixo","1","1","0","marketing",0.84,0.88,4,263,5
"150","Baixo","0","1","0","marketing",0.39,0.5,2,147,3
"151","Baixo","0","1","0","marketing",0.11,0.91,6,278,4
"152","Baixo","0","1","0","marketing",0.45,0.56,2,154,3
"153","Baixo","0","1","0","marketing",0.37,0.52,2,143,3
"154","Baixo","0","1","0","marketing",0.4,0.52,2,155,3
"155","Baixo","0","1","0","sales",0.39,0.48,2,160,3
"156","Baixo","0","1","0","accounting",0.11,0.8,6,304,4
"157","Baixo","0","1","0","support",0.83,1,5,240,5
"158","Baixo","0","1","0","technical",0.11,0.92,6,305,4
"159","Baixo","0","1","0","management",0.39,0.5,2,136,3
"160","Baixo","0","1","0","marketing",0.45,0.45,2,132,3
"161","Baixo","0","1","0","marketing",0.1,0.95,7,301,4
"162","Baixo","0","1","0","marketing",0.9,0.98,5,243,6
"163","Baixo","0","1","0","sales",0.45,0.51,2,147,3
"164","Baixo","0","1","0","sales",0.79,0.89,5,239,5
"165","Baixo","0","1","0","sales",0.9,0.99,5,260,5
"166","Baixo","0","1","0","sales",0.11,0.84,7,296,4
"167","Baixo","0","1","0","sales",0.43,0.55,2,129,3
"168","Baixo","0","1","0","sales",0.31,0.54,5,132,5
"169","Baixo","0","1","0","sales",0.32,0.5,2,135,5
"170","Baixo","0","1","0","sales",0.45,0.57,2,158,3
"171","Baixo","0","1","0","sales",0.81,0.99,4,259,5
"172","Baixo","0","1","1","sales",0.41,0.46,2,160,3
"173","Baixo","0","1","0","sales",0.11,0.78,7,278,4
"174","Baixo","0","1","0","sales",0.1,0.88,6,284,4
"175","Baixo","0","1","0","sales",0.7,0.53,2,274,4
"176","Baixo","0","1","0","sales",0.54,0.74,4,164,2
"177","Baixo","0","1","0","sales",0.41,0.48,2,148,3
"178","Médio","0","1","0","sales",0.38,0.5,2,140,3
"179","Médio","0","1","0","sales",0.37,0.51,2,127,3
"180","Médio","0","1","0","sales",0.11,0.85,6,308,5
"181","Médio","0","1","0","sales",0.4,0.47,2,146,3
"182","Médio","0","1","0","accounting",0.1,0.84,6,261,4
"183","Médio","0","1","0","accounting",0.89,0.99,5,257,5
"184","Médio","0","1","0","accounting",0.11,0.8,6,285,4
"185","Médio","0","1","0","hr",0.36,0.55,2,141,3
"186","Médio","0","1","0","hr",0.4,0.46,2,127,3
"187","Médio","0","1","0","hr",0.09,0.85,6,297,4
"188","Médio","0","1","0","hr",0.4,0.46,2,143,3
"189","Médio","0","1","0","technical",0.37,0.55,2,152,3
"190","Alto","0","1","0","technical",0.44,0.51,2,156,3
"191","Baixo","0","1","0","technical",0.09,0.8,7,283,5
"192","Médio","1","1","0","technical",0.92,0.87,4,226,6
"193","Médio","0","1","0","technical",0.74,0.91,4,232,5
"194","Médio","0","1","0","technical",0.09,0.82,6,249,4
"195","Médio","0","1","0","technical",0.89,0.95,4,275,5
"196","Baixo","0","1","0","technical",0.09,0.8,6,304,4
"197","Baixo","0","1","0","technical",0.27,0.54,7,278,3
"198","Baixo","0","1","0","technical",0.1,0.91,6,287,4
"199","Baixo","0","1","0","technical",0.1,0.89,7,285,4
"200","Baixo","0","1","0","support",0.77,0.94,5,226,6
"201","Baixo","0","1","0","support",0.9,0.82,5,259,5
"202","Baixo","0","1","0","support",0.39,0.5,2,135,3
"203","Baixo","0","1","0","support",0.76,1,5,219,5
"204","Baixo","0","1","0","support",0.1,0.93,6,256,4
"205","Baixo","0","1","0","support",0.87,0.9,5,254,6
"206","Baixo","0","1","0","support",0.38,0.5,2,153,3
"207","Baixo","0","1","0","support",0.77,0.99,5,228,5
"208","Baixo","0","1","0","support",0.78,0.87,4,228,5
"209","Baixo","0","1","0","support",0.44,0.5,2,128,3
"210","Baixo","0","1","0","support",0.38,0.52,2,153,3
"211","Baixo","0","1","0","technical",0.43,0.46,2,156,3
"212","Baixo","0","1","0","technical",0.39,0.5,4,294,3
"213","Baixo","0","1","0","technical",0.88,1,5,219,5
"214","Baixo","0","1","0","management",0.45,0.46,2,153,3
"215","Baixo","0","1","0","IT",0.4,0.53,2,151,3
"216","Baixo","0","1","0","IT",0.36,0.51,2,155,3
"217","Baixo","0","1","0","IT",0.36,0.48,2,158,3
"218","Baixo","0","1","0","IT",0.9,0.98,5,245,5
"219","Baixo","0","1","0","IT",0.43,0.53,2,131,3
"220","Baixo","0","1","0","product_mng",0.89,0.87,5,225,5
"221","Baixo","0","1","0","product_mng",0.1,0.84,6,286,4
"222","Baixo","0","1","0","product_mng",0.37,0.5,2,135,3
"223","Baixo","0","1","0","product_mng",0.37,0.51,2,153,3
"224","Baixo","0","1","0","IT",0.87,0.9,5,252,5
"225","Baixo","0","1","0","accounting",0.4,0.56,2,149,3
"226","Baixo","0","1","0","accounting",0.9,0.97,4,258,5
"227","Baixo","0","1","0","hr",0.37,0.46,2,158,3
"228","Baixo","0","1","0","hr",0.44,0.54,2,149,3
"229","Baixo","0","1","0","hr",0.85,0.95,5,236,5
"230","Baixo","0","1","0","marketing",0.78,0.98,5,239,6
"231","Baixo","0","1","0","marketing",0.42,0.47,2,159,3
"232","Baixo","0","1","0","sales",0.92,0.99,5,255,6
"233","Baixo","0","1","0","accounting",0.11,0.83,6,244,4
"234","Baixo","0","1","0","support",0.42,0.56,2,134,3
"235","Baixo","0","1","0","technical",0.48,0.57,4,270,4
"236","Baixo","0","1","0","management",0.83,0.85,4,255,5
"237","Baixo","0","1","0","marketing",0.4,0.53,2,151,3
"238","Baixo","0","1","0","marketing",0.43,0.45,2,135,3
"239","Baixo","0","1","0","marketing",0.43,0.53,2,146,3
"240","Baixo","0","1","0","sales",0.1,0.97,7,254,4
"241","Baixo","0","1","0","sales",0.1,0.87,7,289,4
"242","Baixo","0","1","0","sales",0.37,0.46,2,156,3
"243","Baixo","0","1","0","sales",0.38,0.53,2,156,3
"244","Baixo","0","1","0","sales",0.4,0.5,2,128,3
"245","Baixo","0","1","0","sales",0.89,0.86,5,275,5
"246","Baixo","0","1","0","sales",0.45,0.46,2,155,3
"247","Baixo","0","1","0","sales",0.37,0.48,2,159,3
"248","Baixo","0","1","0","sales",0.46,0.49,2,148,3
"249","Baixo","0","1","0","sales",0.87,0.91,4,228,5
"250","Baixo","0","1","0","sales",0.11,0.84,6,298,4
"251","Baixo","0","1","0","sales",0.79,0.87,5,261,5
"252","Baixo","0","1","0","sales",0.79,0.92,5,254,6
"253","Baixo","0","1","0","sales",0.19,0.59,7,192,3
"254","Baixo","0","1","0","sales",0.87,0.98,4,248,5
"255","Baixo","0","1","0","sales",0.6,0.92,2,258,5
"256","Médio","0","1","0","sales",0.44,0.45,2,156,3
"257","Médio","1","1","0","sales",0.11,0.81,6,266,4
"258","Médio","0","1","0","sales",0.42,0.54,2,156,3
"259","Médio","1","1","0","accounting",0.88,0.88,5,232,5
"260","Médio","0","1","0","accounting",0.11,0.84,6,287,4
"261","Médio","0","1","0","accounting",0.46,0.46,2,154,3
"262","Médio","0","1","0","hr",0.82,0.97,5,263,5
"263","Médio","0","1","0","hr",0.44,0.56,2,131,3
"264","Médio","0","1","0","hr",0.11,0.78,6,260,4
"265","Médio","0","1","0","hr",0.42,0.5,2,139,3
"266","Médio","0","1","0","technical",0.84,0.93,4,251,5
"267","Médio","0","1","0","technical",0.11,0.95,6,286,4
"268","Alto","0","1","0","technical",0.45,0.53,2,129,3
"269","Baixo","0","1","0","technical",0.38,0.56,2,156,3
"270","Médio","0","1","0","technical",0.38,0.86,6,139,6
"271","Médio","0","1","0","technical",0.44,0.51,2,127,3
"272","Médio","0","1","0","technical",0.11,0.84,6,251,4
"273","Médio","0","1","0","technical",0.81,0.93,5,270,5
"274","Baixo","0","1","0","technical",0.09,0.96,6,296,4
"275","Baixo","0","1","0","technical",0.11,0.9,6,254,4
"276","Baixo","0","1","0","technical",0.81,0.95,5,238,6
"277","Baixo","1","1","0","support",0.1,0.97,6,267,4
"278","Baixo","0","1","0","support",0.74,0.89,5,229,6
"279","Baixo","0","1","0","support",0.09,0.78,6,254,4
"280","Baixo","1","1","0","support",0.82,0.81,4,233,4
"281","Baixo","0","1","0","support",0.1,0.98,6,268,4
"282","Baixo","0","1","0","support",0.27,0.56,3,301,3
"283","Baixo","0","1","0","support",0.83,0.92,5,267,6
"284","Baixo","1","1","0","support",0.1,0.93,6,289,4
"285","Baixo","0","1","0","support",0.38,0.47,2,144,3
"286","Baixo","0","1","0","support",0.4,0.56,2,148,3
"287","Baixo","0","1","0","support",0.11,0.83,6,306,4
"288","Baixo","0","1","1","technical",0.11,0.79,6,292,4
"289","Baixo","0","1","0","technical",0.82,0.91,5,232,5
"290","Baixo","0","1","0","technical",0.36,0.48,2,137,3
"291","Baixo","0","1","0","management",0.4,0.46,2,128,3
"292","Baixo","0","1","0","IT",0.87,0.84,5,231,5
"293","Baixo","0","1","0","IT",0.41,0.49,2,146,3
"294","Baixo","1","1","0","IT",0.11,0.91,6,308,4
"295","Médio","0","1","0","IT",0.1,0.93,6,253,4
"296","Médio","0","1","0","IT",0.38,0.51,2,146,3
"297","Médio","0","1","0","product_mng",0.39,0.55,2,156,3
"298","Médio","0","1","0","product_mng",0.4,0.52,2,147,3
"299","Médio","0","1","0","product_mng",0.45,0.48,2,136,3
"300","Médio","0","1","0","product_mng",0.74,0.84,5,249,5
"301","Médio","0","1","0","IT",0.45,0.55,2,151,3
"302","Médio","0","1","0","RandD",0.12,1,3,278,4
"303","Médio","0","1","0","RandD",0.1,0.77,7,250,5
"304","Médio","0","1","0","RandD",0.37,0.55,2,127,3
"305","Médio","0","1","0","RandD",0.89,0.87,5,255,5
"306","Médio","0","1","0","RandD",0.45,0.47,2,135,3
"307","Alto","0","1","0","marketing",0.37,0.46,2,149,3
"308","Baixo","0","1","0","sales",0.11,0.81,5,287,4
"309","Médio","0","1","0","accounting",0.41,0.48,2,145,3
"310","Médio","0","1","0","support",0.1,0.94,6,285,4
"311","Médio","0","1","0","technical",0.1,0.93,7,305,4
"312","Médio","0","1","0","management",0.11,0.95,7,300,4
"313","Baixo","0","1","0","marketing",0.4,0.54,2,139,3
"314","Baixo","0","1","0","marketing",0.41,0.49,2,130,3
"315","Baixo","0","1","0","marketing",0.1,0.81,6,268,4
"316","Baixo","0","1","0","sales",0.73,0.86,4,245,6
"317","Baixo","0","1","0","sales",0.43,0.47,2,135,3
"318","Baixo","0","1","0","sales",0.37,0.46,2,153,3
"319","Baixo","0","1","0","sales",0.11,0.94,6,276,4
"320","Baixo","0","1","0","sales",0.4,0.46,2,130,3
"321","Baixo","1","1","0","sales",0.41,0.54,2,153,3
"322","Baixo","0","1","0","sales",0.82,0.84,5,244,5
"323","Baixo","0","1","0","sales",0.61,0.47,2,253,3
"324","Baixo","0","1","0","sales",0.11,0.91,7,287,4
"325","Baixo","0","1","0","sales",0.37,0.45,2,131,3
"326","Baixo","0","1","0","sales",0.41,0.52,2,135,3
"327","Baixo","0","1","0","sales",0.37,0.52,2,157,3
"328","Baixo","0","1","0","sales",0.88,0.99,5,262,6
"329","Baixo","0","1","0","sales",0.1,0.85,6,266,4
"330","Baixo","0","1","0","sales",0.44,0.48,2,148,3
"331","Baixo","0","1","0","sales",0.38,0.57,2,140,3
"332","Baixo","0","1","0","sales",0.11,0.85,7,302,4
"333","Baixo","0","1","0","sales",0.09,0.98,6,271,4
"334","Médio","0","1","0","sales",0.45,0.52,2,145,3
"335","Médio","0","1","0","accounting",0.1,0.81,6,290,4
"336","Médio","0","1","0","accounting",0.45,0.47,2,151,3
"337","Médio","0","1","0","accounting",0.77,0.87,5,266,5
"338","Médio","0","1","0","hr",0.44,0.51,2,140,3
"339","Médio","0","1","0","hr",0.39,0.5,2,142,3
"340","Médio","0","1","0","hr",0.1,0.91,6,246,4
"341","Médio","0","1","0","hr",0.09,0.89,7,308,5
"342","Médio","0","1","0","technical",0.37,0.47,2,141,3
"343","Médio","0","1","0","technical",0.9,1,5,232,5
"344","Médio","0","1","0","technical",0.41,0.56,2,143,3
"345","Médio","0","1","0","technical",0.37,0.52,2,155,3
"346","Alto","0","1","0","technical",0.1,0.86,6,278,4
"347","Baixo","0","1","0","technical",0.81,1,4,253,5
"348","Médio","0","1","0","technical",0.11,0.8,6,282,4
"349","Médio","0","1","0","technical",0.11,0.84,7,264,4
"350","Médio","0","1","0","technical",0.4,0.46,2,149,3
"351","Médio","0","1","0","technical",0.09,0.8,6,304,5
"352","Baixo","0","1","0","technical",0.48,0.93,3,219,6
"353","Baixo","0","1","0","support",0.91,0.91,4,262,6
"354","Baixo","0","1","0","support",0.43,0.57,2,135,3
"355","Baixo","0","1","0","support",0.33,0.88,6,219,5
"356","Baixo","0","1","0","support",0.41,0.57,2,136,3
"357","Baixo","0","1","0","support",0.41,0.55,2,154,3
"358","Baixo","0","1","0","support",0.37,0.54,2,149,3
"359","Baixo","0","1","0","support",0.31,0.62,6,135,5
"360","Baixo","0","1","0","support",0.09,0.91,6,275,4
"361","Baixo","0","1","0","support",0.1,0.87,6,290,4
"362","Baixo","0","1","0","support",0.76,0.9,4,263,5
"363","Baixo","0","1","0","support",0.41,0.54,2,145,3
"364","Baixo","0","1","0","technical",0.72,0.96,5,267,5
"365","Baixo","1","1","0","technical",0.4,0.5,2,141,3
"366","Baixo","0","1","0","technical",0.91,0.87,4,235,5
"367","Baixo","0","1","0","management",0.1,0.83,6,258,4
"368","Baixo","0","1","0","IT",0.4,0.56,2,131,3
"369","Baixo","0","1","0","IT",0.82,0.86,5,243,5
"370","Baixo","0","1","0","IT",0.1,0.82,6,266,4
"371","Baixo","0","1","0","IT",0.37,0.45,2,142,3
"372","Baixo","0","1","0","IT",0.36,0.51,2,135,3
"373","Médio","0","1","0","product_mng",0.39,0.48,2,141,3
"374","Médio","0","1","0","product_mng",0.36,0.57,2,142,3
"375","Médio","0","1","0","product_mng",0.86,0.84,5,254,5
"376","Médio","0","1","0","product_mng",0.73,0.99,5,262,5
"377","Médio","0","1","0","IT",0.56,0.71,4,296,2
"378","Médio","0","1","0","accounting",0.44,0.56,2,158,3
"379","Médio","0","1","0","accounting",0.31,0.56,4,238,2
"380","Médio","0","1","0","hr",0.77,0.93,4,231,5
"381","Médio","0","1","0","hr",0.44,0.45,2,156,3
"382","Médio","0","1","0","hr",0.38,0.46,2,145,3
"383","Médio","0","1","0","marketing",0.45,0.48,2,144,3
"384","Médio","0","1","0","sales",0.38,0.51,2,159,3
"385","Alto","0","1","0","accounting",0.36,0.48,2,156,3
"386","Baixo","0","1","0","support",0.75,0.9,5,256,5
"387","Médio","0","1","0","technical",0.1,0.93,6,298,4
"388","Médio","0","1","0","management",0.1,0.97,6,247,4
"389","Médio","0","1","0","marketing",0.45,0.5,2,157,3
"390","Médio","1","1","0","marketing",0.42,0.57,2,154,3
"391","Baixo","0","1","0","marketing",0.78,1,4,253,5
"392","Baixo","0","1","0","sales",0.45,0.55,2,148,3
"393","Baixo","0","1","0","sales",0.84,1,4,261,5
"394","Baixo","0","1","0","sales",0.11,0.93,6,282,4
"395","Baixo","0","1","0","sales",0.42,0.56,2,133,3
"396","Baixo","0","1","0","sales",0.45,0.46,2,128,3
"397","Baixo","0","1","0","sales",0.46,0.57,2,139,3
"398","Baixo","0","1","0","sales",0.09,0.79,6,293,5
"399","Baixo","0","1","0","sales",0.87,0.83,4,265,6
"400","Baixo","0","1","0","sales",0.1,0.87,6,250,4
"401","Baixo","0","1","0","sales",0.91,1,5,251,6
"402","Baixo","0","1","0","sales",0.76,0.92,4,246,5
"403","Baixo","0","1","0","sales",0.74,1,5,275,5
"404","Baixo","0","1","0","sales",0.92,0.93,5,240,5
"405","Baixo","0","1","0","sales",0.76,0.87,5,245,5
"406","Baixo","0","1","0","sales",0.47,0.5,4,254,4
"407","Baixo","0","1","0","sales",0.73,0.99,5,241,5
"408","Baixo","0","1","0","sales",0.09,0.94,6,257,4
"409","Baixo","0","1","0","sales",0.91,0.92,4,246,5
"410","Baixo","0","1","0","sales",0.82,0.98,4,233,5
"411","Baixo","0","1","0","accounting",0.28,0.45,6,218,4
"412","Médio","0","1","0","accounting",0.84,0.99,4,262,6
"413","Médio","0","1","0","accounting",0.45,0.53,2,138,3
"414","Médio","0","1","0","hr",0.45,0.54,2,142,3
"415","Médio","0","1","0","hr",0.91,0.97,5,233,5
"416","Médio","0","1","0","hr",0.42,0.48,2,155,3
"417","Médio","0","1","0","hr",0.82,1,4,229,6
"418","Médio","0","1","0","technical",0.11,0.9,6,264,4
"419","Médio","0","1","0","technical",0.42,0.53,3,199,4
"420","Médio","0","1","0","technical",0.82,0.85,4,223,5
"421","Médio","0","1","0","technical",0.09,0.96,6,268,4
"422","Médio","0","1","0","technical",0.1,0.94,6,287,4
"423","Médio","0","1","0","technical",0.86,1,5,257,5
"424","Alto","0","1","0","technical",0.4,0.46,2,143,3
"425","Baixo","0","1","0","technical",0.45,0.46,2,130,3
"426","Médio","0","1","0","technical",0.42,0.51,2,136,3
"427","Médio","0","1","0","technical",0.74,0.92,4,261,5
"428","Médio","0","1","0","technical",0.55,0.6,3,180,4
"429","Médio","0","1","0","support",0.37,0.45,2,126,3
"430","Baixo","1","1","0","support",0.41,0.52,2,127,3
"431","Baixo","0","1","0","support",0.89,0.65,5,195,6
"432","Baixo","0","1","0","support",0.41,0.57,2,160,3
"433","Baixo","0","1","0","support",0.44,0.51,2,150,3
"434","Baixo","0","1","0","support",0.87,0.84,4,264,6
"435","Baixo","0","1","0","support",0.1,0.84,6,309,4
"436","Baixo","0","1","0","support",0.41,0.47,2,135,3
"437","Baixo","0","1","0","support",0.11,0.85,6,261,4
"438","Baixo","0","1","0","support",0.43,0.53,2,160,3
"439","Baixo","0","1","0","support",0.77,0.9,4,237,5
"440","Baixo","0","1","0","technical",0.41,0.52,2,136,3
"441","Baixo","0","1","0","technical",0.41,0.48,2,139,3
"442","Baixo","0","1","0","technical",0.36,0.78,2,151,4
"443","Baixo","0","1","0","management",0.77,1,5,229,5
"444","Baixo","0","1","0","IT",0.81,0.98,5,245,5
"445","Baixo","0","1","0","IT",0.39,0.54,2,127,3
"446","Baixo","0","1","0","IT",0.09,0.94,6,283,5
"447","Baixo","0","1","0","IT",0.44,0.46,2,143,3
"448","Baixo","0","1","0","IT",0.1,0.84,5,298,4
"449","Baixo","0","1","0","product_mng",0.36,0.48,2,159,3
"450","Baixo","0","1","0","product_mng",0.81,0.92,5,239,5
"451","Médio","0","1","0","product_mng",0.81,0.9,4,226,5
